Restaurant ID,Restaurant name,Subzone,City,Order ID,Order Placed At,Order Status,Delivery,Distance,Items in order,Instructions,Discount construct,Bill subtotal,Packaging charges,Restaurant discount (Promo),"Restaurant discount (Flat offs, Freebies & others)",Gold discount,Brand pack discount,Total,Rating,Review,Cancellation / Rejection reason,Restaurant compensation (Cancellation),Restaurant penalty (Rejection),KPT duration (minutes),Rider wait time (minutes),Order Ready Marked,Customer complaint tag,Customer ID
22149004,Taste And Toast,Raiganj Locality,Raiganj,7236288701,"10:01 PM, September 09 2025",Delivered,Zomato Delivery,2km,1 x Egg Khichuri,,40% off upto Rs.80,180,0,72,0,0,0,108,,,,,,21.55,11.1,Correctly,,61e7b0aa68266c08dbf60d84978b989ababa59f92dd2b96d6e336b14518b5ab1
22149004,Taste And Toast,Raiganj Locality,Raiganj,7242219814,"09:00 PM, September 09 2025",Delivered,Zomato Delivery,2km,1 x Chilli Chicken,Order: good pcs and make it dry....,40% off upto Rs.80,160,0,64,0,0,0,96,,,,,,35.05,27.1,Correctly,,52df7002c915dc2985df3db240ad2d9ada4b0b282492a7fe8994df12f565934c
22149004,Taste And Toast,Raiganj Locality,Raiganj,7256689878,"08:47 PM, September 09 2025",Delivered,Zomato Delivery,4km,1 x Rara Chicken,,Flat Rs.100 off,390,0,100,0,0,0,290,,,,,,36.25,27.0,Correctly,,95201608caa62b582f5ac15c3ca49f0fa1f3af905021342a11edc90356619953
22149004,Taste And Toast,Raiganj Locality,Raiganj,7255531688,"08:44 PM, September 09 2025",Delivered,Zomato Delivery,2km,1 x Veg Pulao with Mutton Kosha [2 Pieces],,40% off upto Rs.80,235,0,80,0,0,0,155,,,,,,30.65,22.8,Incorrectly,,ec24e65db2d01f34c4c414376a571156e19da6dfe8bd33f1b2a881fb4e7cf412
22149004,Taste And Toast,Raiganj Locality,Raiganj,7257686009,"08:04 PM, September 09 2025",Delivered,Zomato Delivery,4km,1 x Chicken Handi Biryani [2 Pieces],,40% off upto Rs.80,210,0,80,0,0,0,130,,,,,,69.57,55.4,Correctly,,586332cbc530ade4d9be40882456ddcfc4bf9c386d0afb58b5110adcd9738a0d
22149004,Taste And Toast,Raiganj Locality,Raiganj,7258498878,"08:04 PM, September 09 2025",Delivered,Zomato Delivery,4km,1 x Chicken Handi Biryani [2 Pieces],Order: I got a recommendation about your newly launched restaurant. let's see  ,Flat Rs.125 off,210,0,80,0,0,0,130,,,,,,69.35,54.7,Correctly,,517fd9225b77cf221097e6babc74902825ce0dd361ed9c1e4701cfd609314c4b
22149004,Taste And Toast,Raiganj Locality,Raiganj,7254418714,"07:53 PM, September 09 2025",Delivered,Zomato Delivery,4km,"1 x Chicken Handi Biryani [2 Pieces], 1 x Chicken 65 [10 Pieces]",,Flat Rs.125 off,420,0,125,0,0,0,295,,,,,,25.15,13.3,Correctly,,4fe5c790d3be263b51363441ebb8968f9aaaa417e1827b35df7221a7017d1ddd
22149004,Taste And Toast,Raiganj Locality,Raiganj,7255198359,"07:32 PM, September 09 2025",Delivered,Zomato Delivery,4km,1 x Chicken Handi Biryani [2 Pieces],,40% off upto Rs.80,210,0,80,0,0,0,130,5.0,,,,,20.40,0.8,Correctly,,876cbe62372cd8aee882f4853705c2c48d32fe09d2fc06a99c4647c561e97455
22149004,Taste And Toast,Raiganj Locality,Raiganj,7252041315,"07:11 PM, September 09 2025",Delivered,Zomato Delivery,2km,1 x Chicken 65 [10 Pieces],,40% off upto Rs.80,210,0,80,0,0,0,130,,,,,,17.92,10.8,Correctly,,2d9cac18576cb815fe17b2b33971d2c71f94031fd5189fc354af37ba76a3e4ff
22149004,Taste And Toast,Raiganj Locality,Raiganj,7257403741,"06:43 PM, September 09 2025",Delivered,Zomato Delivery,<1km,"1 x Chicken Tangdi Kabab, 1 x Chicken Handi Biryani [2 Pieces]",,Flat Rs.125 off,410,0,125,0,0,0,285,,,,,,39.97,24.2,Correctly,,ec8568f04a7495aae104855727d595d7d8b0e31c5ebb7b6e517702869d824901
22149004,Taste And Toast,Raiganj Locality,Raiganj,7253417464,"06:08 PM, September 09 2025",Delivered,Zomato Delivery,4km,1 x Chicken 65 [10 Pieces],,40% off upto Rs.80,210,0,80,0,0,0,130,,,,,,29.40,23.4,Incorrectly,,58d5d6a8038d48b85102fda4750a89a7ec1493501db6c4002009bf0a41e31a8f
22149004,Taste And Toast,Raiganj Locality,Raiganj,7257469435,"05:52 PM, September 09 2025",Delivered,Zomato Delivery,1km,"1 x Chicken Tangdi Kabab, 1 x Chicken Leg Kabab",,,360,0,0,0,0,0,360,,,,,,59.03,28.3,Incorrectly,,992bd71edac4962d1ea44dda5c5f803768b2728bce0e1c919115dda9836e2d81
22149004,Taste And Toast,Raiganj Locality,Raiganj,7257304049,"04:32 PM, September 09 2025",Delivered,Zomato Delivery,2km,1 x Veg Pulao with Mutton Kosha [2 Pieces],,40% off upto Rs.80,235,0,80,0,0,0,155,,,,,,32.58,15.6,Correctly,,fe4c9734dbad0f2962e9402efea264dca568e03245d3ce970f0148b2b43eb2a9
22149004,Taste And Toast,Raiganj Locality,Raiganj,7256340472,"04:26 PM, September 09 2025",Delivered,Zomato Delivery,1km,1 x Chicken Handi Biryani [2 Pieces],,40% off upto Rs.80,210,0,80,0,0,0,130,,,,,,35.77,22.7,Missed,,a6db34f34e2b8ffab55f712a3002f12213453425a7d8d5195f670041bf5a6f2b
22149004,Taste And Toast,Raiganj Locality,Raiganj,7248117513,"04:25 PM, September 09 2025",Delivered,Zomato Delivery,1km,1 x Dal Makhani with 2 Laccha Paratha,,40% off upto Rs.80,270,0,80,0,0,0,190,,,,,,41.50,15.6,Correctly,,c667c23b1ce1258e99458f9be4b7eb3f540d6f1d276c7ff8df801b3e25710a57
22149004,Taste And Toast,Raiganj Locality,Raiganj,7253662573,"02:58 PM, September 09 2025",Delivered,Zomato Delivery,2km,1 x Chicken Leg Kabab,,40% off upto Rs.80,160,0,64,0,0,0,96,,,,,,43.60,15.8,Correctly,,1079323f42d3afc3d8f7725f43bdd0d331777560869481cb36c968bd9b8ec8fa
22149004,Taste And Toast,Raiganj Locality,Raiganj,7254654426,"01:33 PM, September 09 2025",Delivered,Zomato Delivery,2km,1 x Chicken Handi Biryani [2 Pieces],,40% off upto Rs.80,210,0,80,0,0,0,130,,,,,,35.17,5.6,Correctly,,eed17f8a775da34a2f0a19b805f89cabafe7ea2c2e33239db50111a35df8e305
22149004,Taste And Toast,Raiganj Locality,Raiganj,7256064871,"10:07 PM, September 08 2025",Delivered,Zomato Delivery,2km,1 x Chilli Chicken,,40% off upto Rs.80,160,0,64,0,0,0,96,5.0,,,,,10.82,3.4,Correctly,,7a62b97560d2d555b26036a80554cc3623c4009a5ff2e98b3b6c6cdaf3e32861
